P00401	interact_count:65	partners:P00044, P00045, P00127, P00128, P00163, P00410, P00420, P00424, P00425, P00427, P00854, P02381, P03873, P03877, P03878, P03879, P04037, P04039, P06704, P07143, P07255, P07256, P07257, P08067, P08525, P10174, P10507, P10834, P11914, P21592, P21801, P22289, P25374, P32335, P32463, P32522, P32588, P32799, P32897, P36112, P37299, P38910, P39103, P39952, P40452, P40576, P47081, P53077, P53220, P53266, P53721, P53722, Q01519, Q03713, Q04347, Q04712, Q04935, Q08179, Q12221, Q2V2P9, Q3E776, Q3E7B2, Q3E846, Q9ZZW7, Q9ZZX1
P10834	interact_count:21	partners:O13516, O75012, P00401, P00420, P04037, P05756, P07256, P07390, P08468, P0CX39, P10355, P24276, P25808, P32335, P32522, P32588, P48589, Q04935, Q07807, Q08831, Q12034
P03879	interact_count:54	partners:P00044, P00045, P00128, P00163, P00401, P00410, P00420, P00424, P00425, P00427, P00445, P01123, P03873, P03878, P04037, P04039, P07143, P07256, P07257, P08067, P08525, P10507, P11325, P11914, P18899, P20459, P21560, P21801, P22289, P32463, P32505, P32799, P32829, P36112, P37299, P38359, P47180, P53077, P53266, P53273, P53278, P53394, Q01519, Q03673, Q04347, Q04712, Q04935, Q12325, Q3E846, Q6Q560, Q99288, Q9ZZW7, Q9ZZX0, Q9ZZX1
Q03713	interact_count:39	partners:P00163, P00401, P00410, P00420, P00424, P00427, P04037, P06182, P07143, P07256, P07257, P08067, P18239, P32457, P32505, P32799, P32897, P36112, P38249, P39929, P40312, P45976, P49334, P53309, P53721, P53722, P53849, Q00711, Q01519, Q02732, Q04264, Q07807, Q12034, Q12221, Q12350, Q2V2P9, Q3E776, Q96VH5, Q99332
P40576	interact_count:29	partners:P00163, P00401, P00410, P00420, P00830, P00854, P00856, P05626, P07251, P07253, P09457, P11484, P18496, P21560, P30902, P32505, P32588, P37267, P38077, P40422, P48360, P53550, P53722, P53849, P61829, Q01080, Q02888, Q07807, Q12165
Q08179	interact_count:85	partners:P00163, P00401, P00410, P00420, P00854, P02381, P04037, P04456, P05750, P05756, P05759, P07256, P10663, P14126, P17558, P21771, P22353, P22354, P23369, P25339, P25443, P25626, P25642, P26321, P27929, P28778, P31334, P32387, P32388, P32611, P32897, P32902, P33759, P35996, P36056, P36516, P36517, P36519, P36520, P36521, P36523, P36525, P36526, P36527, P36528, P36531, P36533, P36534, P38011, P38061, P38064, P38120, P38300, P38701, P38934, P39016, P40033, P40858, P41805, P42847, P47141, P48589, P49334, P51998, P53292, P53305, P53881, P53937, P61829, Q01163, Q01855, Q02204, Q02608, Q02950, Q03201, Q03246, Q03976, Q04599, Q06090, Q06493, Q06678, Q07807, Q08649, Q12487, Q96VH5
P39103	interact_count:28	partners:P00127, P00163, P00401, P00410, P00420, P00424, P00425, P00854, P04037, P07143, P07256, P08067, P08525, P25339, P32335, P32505, P32897, P36112, P40452, P49686, P53266, P53722, P53849, Q07807, Q12034, Q12221, Q12415, Q3E7B2
P00045	interact_count:67	partners:P00127, P00128, P00163, P00175, P00401, P00410, P00420, P00424, P00425, P00427, P02829, P02992, P03873, P03878, P03879, P04037, P04840, P06700, P07143, P07256, P07257, P08067, P08466, P08525, P15108, P16603, P19882, P20447, P21147, P22289, P23202, P27882, P32351, P32505, P32799, P32897, P33297, P34760, P36046, P36112, P36130, P38111, P38764, P38783, P40312, P40478, P43588, P47025, P52923, P53134, P53685, P53722, P53851, P53857, Q01519, Q02793, Q03361, Q03529, Q03673, Q04120, Q12021, Q12184, Q12245, Q99248, Q9ZZW7, Q9ZZX0, Q9ZZX1
P03873	interact_count:53	partners:P00044, P00045, P00128, P00163, P00401, P00410, P00420, P00424, P00425, P00427, P00445, P01123, P03878, P03879, P04037, P04039, P07143, P07256, P07257, P08067, P08525, P10507, P11914, P18899, P20459, P21560, P21801, P22289, P31787, P32463, P32799, P32829, P36112, P37299, P38359, P47180, P53077, P53273, P53278, P53394, Q01519, Q03673, Q04347, Q04712, Q04935, Q12221, Q12325, Q3E846, Q6Q560, Q99288, Q9ZZW7, Q9ZZX0, Q9ZZX1
P04037	interact_count:150	partners:P00044, P00045, P00127, P00128, P00163, P00401, P00410, P00420, P00424, P00425, P00427, P00890, P02293, P02294, P03873, P03876, P03877, P03878, P03879, P04039, P04710, P04803, P05759, P07143, P07213, P07253, P07255, P07256, P07257, P08067, P08466, P08525, P08679, P0C2H8, P0C2H9, P0CG63, P0CH08, P0CS90, P10174, P10507, P10834, P11914, P18238, P18239, P19516, P21560, P21954, P22289, P23641, P23833, P25038, P25374, P28241, P32335, P32340, P32378, P32463, P32505, P32785, P32796, P32799, P32897, P33303, P36046, P36060, P36066, P36112, P36147, P37267, P37292, P37299, P38152, P38274, P38300, P38353, P38523, P38783, P38797, P38958, P38988, P39006, P39103, P39515, P39525, P39929, P39952, P39987, P40006, P40008, P40086, P40098, P40215, P40502, P40508, P42949, P47069, P47081, P48015, P48360, P48558, P49334, P50945, P53077, P53220, P53266, P53721, P53723, P53732, P53969, Q01519, Q01852, Q02776, Q02793, Q02889, Q03028, Q03390, Q03673, Q03713, Q03798, Q04013, Q04304, Q04347, Q04458, Q04712, Q05779, Q05892, Q06010, Q06405, Q06668, Q06674, Q07500, Q07914, Q08058, Q08179, Q08831, Q12160, Q12380, Q12405, Q12451, Q2V2P3, Q2V2P9, Q3E6R5, Q3E776, Q3E846, Q6Q560, Q96VH5, Q99297, Q9ZZW7, Q9ZZX0, Q9ZZX1
P00420	interact_count:65	partners:P00044, P00045, P00127, P00128, P00163, P00401, P00410, P00424, P00425, P00427, P00445, P00830, P00854, P03873, P03877, P03878, P03879, P04037, P04039, P07143, P07255, P07256, P07257, P08067, P08525, P10174, P10507, P10834, P11914, P18239, P21592, P22289, P32335, P32463, P32799, P36010, P37299, P39103, P39952, P40008, P40576, P40990, P47081, P53077, P53239, P53721, P53722, Q01519, Q03673, Q03713, Q04304, Q04347, Q04712, Q04935, Q05892, Q06674, Q08179, Q12221, Q12405, Q2V2P9, Q3E7B2, Q3E846, Q9ZZW7, Q9ZZX0, Q9ZZX1
