name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28
Standard deviation	0.8288502914938394	0.4973906222250016	0.4635786013595833	0.4187288681803946	0.38976020585910687	0.3666139009484564	0.3523606346823982	0.33734417869511435	0.3238579217591774	0.3206771693041662	0.3046070909139935	0.29157307197470755	0.2839418925178755	0.27800057060864036	0.27326368126156336	0.2664472876372272	0.25857468388679905	0.24293059815382534	0.23824613023148578	0.22667119336384778	0.22103603900304253	0.2187527057321031	0.21516961654720046	0.21104107705982997	0.20214005017974784	0.19265007103558568	0.17686311618813091	1.624913908262037e-15
Proportion of Variance	0.22386	0.08062	0.07003	0.05713	0.0495	0.0438	0.04046	0.03708	0.03418	0.03351	0.03023	0.0277	0.02627	0.02518	0.02433	0.02313	0.02179	0.01923	0.0185	0.01674	0.01592	0.01559	0.01509	0.01451	0.01331	0.01209	0.01019	0
Cumulative Proportion	0.22386	0.30448	0.37451	0.43164	0.48114	0.52494	0.5654	0.60248	0.63666	0.67017	0.7004	0.72811	0.75438	0.77956	0.80389	0.82703	0.84882	0.86805	0.88654	0.90328	0.91921	0.9348	0.94989	0.9644	0.97771	0.98981	1	1
