20000, 4.2482, 3.2233, 4.1036, 3.3968, 3.7592, 2.7869, 3.6624, 5.1035, 4.8735, 3.5784, 3.5586, 3.8443, 3.1002, 3.0662, 3.8721, 3.7328, 4.1901, 3.3140, 4.9343, 3.2426, 3.3018, 2.8873, 3.0309, 3.3485, 3.0156, 2.5684, 3.7582, 3.1802, 2.2557, 3.0926, 2.7977, 2.4971, 2.3967, 2.5923, 4.0263, 4.0587, 2.4615, 3.0260, 3.2213, 3.3207, 2.5735, 3.6034, 2.9890, 2.6522, 3.0273, 2.0053, 3.2060, 2.7364, 2.8102, 2.9353, 3.7694, 2.9856, 3.6731, 3.0862, 4.5391, 2.8067, 4.6460, 2.8261, 2.5370, 3.6676, 3.1034, 3.6118, 3.4980, 2.2592, 4.6601, 4.0277, 3.4951, 2.4115, 3.2952, 2.9117, 3.2235, 2.2280, 3.7849, 3.6375, 3.3208, 3.3472, 2.7605, 3.2473, 2.9998, 2.5727, 2.3055, 3.1171, 2.5474, 2.9833, 4.3231, 2.7326, 2.5671, 3.6465, 2.5191, 3.4392, 3.3350, 3.5704, 3.5120, 2.4808, 3.1710, 4.5374, 2.8383, 3.1712, 3.0821, 2.8162, 4.4692, 
22000, 4.0012, 4.2956, 4.4097, 3.4862, 2.9463, 4.6759, 2.9814, 3.5561, 4.9012, 4.3943, 5.1516, 3.5878, 3.8020, 4.4843, 4.0258, 3.9447, 3.2346, 3.3657, 3.9271, 3.6661, 2.8424, 3.2500, 3.9136, 4.0783, 3.8503, 3.0684, 3.7977, 2.5087, 2.7766, 2.7923, 3.3133, 3.2932, 2.8772, 2.8949, 3.8878, 2.8276, 4.1774, 3.4940, 3.6057, 2.4327, 3.3569, 2.2182, 2.3012, 3.0339, 2.8738, 4.8359, 4.1954, 1.8829, 3.4854, 2.1485, 3.1950, 3.0589, 3.8836, 2.8101, 2.1998, 2.6664, 2.0275, 3.9029, 2.7796, 4.0768, 2.4936, 2.4818, 3.4016, 3.6743, 2.4889, 2.7598, 2.9112, 2.9811, 3.5276, 3.4026, 3.9178, 3.8892, 2.8123, 3.2636, 2.5819, 2.9840, 3.4741, 3.0437, 2.8553, 3.4919, 3.2606, 3.0152, 3.9836, 2.4959, 2.9318, 3.4029, 2.6360, 3.3673, 4.0616, 3.9092, 3.2536, 4.3115, 4.0340, 3.3607, 2.9418, 3.4533, 2.0429, 4.0367, 3.1446, 2.5419, 4.8672, 
24000, 4.2695, 4.3243, 3.8580, 3.4418, 5.8899, 4.7336, 2.9675, 3.6395, 3.3031, 5.1368, 4.7078, 3.8865, 3.7855, 3.4577, 3.1607, 3.7012, 3.9587, 3.3377, 3.4584, 2.9689, 4.7993, 4.2843, 2.1507, 3.0538, 3.1750, 2.4198, 3.1903, 3.8601, 3.8866, 3.2675, 2.2770, 3.0377, 3.4989, 3.0459, 2.6191, 3.2610, 3.5081, 3.2827, 2.8162, 2.9361, 3.7428, 3.4376, 2.8039, 2.7637, 2.1566, 3.2931, 2.6688, 3.6423, 3.6809, 2.8572, 3.3565, 2.8285, 3.1032, 3.5192, 4.6938, 2.8567, 2.4382, 3.6690, 3.1519, 2.6204, 3.7119, 3.4382, 3.0806, 2.7915, 2.8948, 3.6821, 2.9259, 3.4363, 3.9189, 2.7265, 3.3695, 2.1710, 3.8487, 4.0291, 3.0836, 2.0546, 3.0916, 3.6543, 2.9508, 3.0515, 3.2329, 2.3413, 3.2456, 3.9091, 5.6195, 2.6802, 4.3734, 3.3767, 2.4580, 4.7956, 2.6857, 3.0795, 3.5075, 3.4666, 3.4209, 3.1569, 3.5889, 3.9549, 3.3050, 2.4158, 3.5891, 
26000, 3.9652, 4.7574, 3.5114, 3.0420, 3.4112, 3.6833, 2.9931, 4.2812, 3.8752, 2.9971, 5.1459, 3.5731, 3.2779, 3.8303, 3.0910, 6.9692, 4.1449, 3.9825, 4.7863, 5.9710, 4.2641, 3.2532, 4.5458, 5.1377, 3.5549, 4.3232, 3.2266, 3.5808, 3.0623, 3.8345, 2.6098, 3.7204, 3.0546, 3.4751, 3.3965, 2.9213, 2.9856, 2.6029, 4.3752, 2.8137, 3.1674, 2.7504, 3.9938, 2.6851, 2.8830, 4.4067, 2.6702, 4.1339, 3.2396, 3.9045, 4.0577, 2.7011, 2.6995, 3.7041, 3.5050, 2.5349, 3.3781, 3.3345, 2.5069, 3.3304, 3.9446, 3.5471, 3.0915, 4.0720, 2.6201, 3.6464, 3.2717, 3.2838, 2.9002, 2.2384, 3.2664, 2.8969, 2.7932, 3.9548, 3.8922, 3.0179, 2.3491, 3.2247, 3.3265, 2.9766, 3.8976, 3.9565, 2.2721, 3.0090, 3.6967, 4.8489, 3.5446, 2.8986, 3.1831, 3.0512, 4.0311, 3.4069, 3.6903, 3.3551, 2.1773, 2.8245, 2.5486, 3.9200, 2.9869, 3.5440, 
28000, 5.6215, 4.0748, 3.5847, 2.8949, 3.4474, 3.9544, 3.4506, 4.5332, 4.5365, 3.4342, 3.9119, 4.1494, 3.6037, 3.1121, 3.4658, 4.8430, 3.8788, 4.6133, 4.4296, 2.9432, 3.2717, 3.1949, 3.7631, 5.4069, 3.0546, 3.6124, 3.7517, 3.6866, 2.9877, 3.8249, 3.7026, 2.5949, 2.7641, 4.5222, 2.6847, 2.7825, 3.4152, 3.5592, 4.1350, 3.6393, 3.1061, 2.9377, 2.5418, 3.7739, 3.7509, 3.3931, 3.7038, 2.8159, 2.9459, 2.4563, 2.9646, 4.6071, 2.8101, 2.9880, 3.4772, 3.0757, 4.9156, 2.5869, 3.9457, 3.3703, 3.3346, 3.5771, 3.1951, 2.3105, 2.8586, 3.0282, 4.1794, 3.0178, 2.8014, 4.3712, 3.4671, 4.2320, 2.3647, 2.8374, 2.4734, 3.3493, 2.9101, 2.9553, 2.9376, 3.1032, 3.9498, 3.0669, 3.0209, 3.4959, 2.7229, 3.2401, 2.8216, 3.2648, 3.7356, 3.6784, 4.3871, 2.4382, 3.4569, 3.4092, 3.4262, 2.2461, 3.6391, 3.3823, 2.6521, 2.6184, 4.1186, 
30000, 3.4229, 4.3408, 3.5449, 3.0996, 5.3052, 3.2194, 5.5708, 3.0070, 3.5295, 3.8355, 3.6847, 3.8884, 3.0364, 4.2410, 5.9328, 3.0640, 3.3064, 2.9554, 2.8565, 4.2362, 3.7820, 3.0533, 3.4133, 4.2031, 4.2279, 3.3712, 4.2023, 2.7879, 2.6790, 3.0691, 3.9232, 2.2010, 4.6137, 3.1202, 2.9037, 2.2843, 2.9258, 3.0839, 2.6639, 2.3846, 2.6271, 3.0293, 3.0819, 2.9310, 3.1884, 3.3078, 2.5665, 3.3585, 3.1556, 2.4087, 2.9649, 2.7276, 3.6444, 2.2616, 3.2557, 2.9766, 3.5515, 2.3534, 4.1688, 2.7853, 3.6062, 3.2494, 3.0768, 2.9669, 3.1721, 4.1212, 2.8180, 4.1414, 3.5071, 2.9033, 3.3608, 3.7257, 2.6517, 3.8306, 3.0055, 2.9497, 2.6180, 3.8192, 2.3909, 2.2399, 3.6274, 4.6318, 3.1403, 3.0133, 2.9158, 2.8297, 3.0121, 3.3262, 3.2381, 2.3101, 2.5593, 2.8125, 4.0761, 2.9826, 2.2369, 2.8927, 2.6322, 3.2361, 2.8525, 3.3314, 
32000, 4.0351, 3.2796, 3.0189, 2.8649, 5.0817, 4.1276, 3.4048, 4.8217, 3.3924, 2.9862, 3.5898, 3.6525, 3.0536, 4.1323, 3.1082, 4.4169, 4.3433, 3.3099, 6.1827, 3.0429, 3.3026, 3.5945, 2.6532, 2.7502, 3.6136, 3.4551, 3.9866, 3.2619, 2.4453, 4.4923, 3.2524, 2.6099, 3.0725, 3.7995, 3.3533, 3.8019, 3.0028, 3.1699, 3.6203, 3.1695, 3.3685, 3.8715, 3.1546, 2.7440, 2.4157, 2.1813, 3.4612, 3.6454, 3.2166, 2.1230, 3.2054, 2.9638, 3.4900, 2.3278, 2.4311, 3.9554, 2.6920, 2.8650, 2.8654, 3.1391, 2.6295, 3.3280, 2.9929, 2.8542, 4.3377, 3.6257, 2.8088, 3.1897, 3.2832, 4.9413, 2.0732, 4.6311, 2.2369, 2.8470, 3.0997, 3.0954, 2.7465, 3.2899, 4.0615, 2.7034, 2.9092, 3.5688, 3.5823, 3.0267, 3.2230, 3.0517, 3.1928, 2.8020, 2.3833, 3.1812, 2.6843, 2.9227, 4.0661, 3.7979, 2.6268, 2.6438, 3.4741, 4.1941, 2.4992, 2.5844, 
34000, 3.2609, 4.0432, 3.4063, 4.0523, 2.8891, 6.0676, 3.7238, 4.9116, 4.8431, 3.1528, 4.6370, 3.4842, 4.1106, 5.0925, 3.6714, 3.8631, 4.5854, 3.2858, 4.2052, 5.0207, 4.3015, 4.4396, 3.6313, 4.2896, 3.8126, 4.9120, 3.3386, 3.2091, 4.8486, 6.3139, 2.9479, 2.6559, 3.1855, 2.8661, 3.2299, 2.6841, 3.9351, 2.5792, 4.8157, 3.0868, 2.9362, 3.0987, 2.6387, 2.6744, 3.3035, 3.9148, 2.8685, 2.5328, 3.7223, 3.7524, 2.8177, 2.7097, 3.6807, 4.5159, 3.0074, 2.5685, 2.5164, 3.5956, 3.0171, 3.1822, 2.8940, 2.4702, 3.3568, 3.4204, 2.9529, 3.2810, 2.2782, 3.7138, 3.0574, 3.2668, 4.0030, 2.5542, 3.4613, 3.2242, 3.0729, 2.5741, 3.2122, 3.5616, 3.4611, 3.1198, 3.3418, 2.8426, 3.0087, 3.7496, 2.6922, 3.8196, 3.5266, 2.4928, 2.8099, 2.9610, 3.0361, 3.4891, 3.2270, 2.7908, 3.2852, 2.7491, 3.6414, 3.3551, 3.2924, 3.6969, 
36000, 3.6198, 3.1757, 4.6969, 3.6367, 4.2404, 3.1933, 3.7608, 2.8631, 3.5095, 3.1619, 3.2297, 4.5161, 3.2109, 3.6629, 4.5453, 3.4199, 4.0777, 2.8512, 2.9830, 4.6293, 4.0434, 3.6800, 4.9752, 4.5714, 4.8132, 4.3140, 3.3459, 2.3165, 2.9713, 2.8355, 3.8350, 2.2230, 2.4984, 3.4608, 2.3967, 2.4255, 2.5601, 3.7684, 2.6241, 3.4114, 3.0179, 2.9177, 2.7770, 4.0307, 4.0263, 4.0052, 4.1822, 2.5380, 2.7295, 3.2065, 2.3618, 2.4963, 3.6584, 2.7148, 2.8796, 2.6715, 3.2754, 2.4384, 2.3892, 3.4400, 2.7210, 3.1359, 3.5832, 2.3462, 3.0148, 2.8928, 2.8787, 3.3194, 2.6714, 3.2824, 4.2670, 3.1116, 3.0975, 3.5593, 3.2572, 2.7630, 2.8150, 2.6491, 2.0005, 3.1361, 2.8479, 2.6711, 2.6094, 2.3025, 3.0464, 2.5040, 3.3947, 3.7827, 3.1584, 2.9158, 4.3666, 2.6440, 3.0601, 2.5043, 3.1072, 3.8134, 3.2044, 3.1394, 3.5258, 2.6868, 
38000, 5.3058, 4.0220, 5.3159, 3.1725, 3.3508, 3.3332, 3.7732, 3.7407, 3.2516, 3.7214, 3.5241, 4.3428, 4.0327, 3.6433, 4.2759, 2.9975, 4.5049, 3.0508, 3.2934, 5.4080, 3.5507, 3.0569, 4.4545, 3.1640, 3.0503, 4.0119, 3.2920, 3.7945, 3.4963, 2.5769, 2.0362, 3.0873, 3.0176, 3.2892, 3.2264, 2.3191, 3.0561, 4.7962, 2.3129, 2.4943, 3.5453, 2.1234, 3.2732, 2.8162, 2.5425, 3.4219, 2.7186, 4.6036, 2.5896, 2.0801, 3.3925, 2.2978, 2.3263, 2.3263, 2.7890, 3.5038, 3.5821, 4.1368, 2.6513, 3.3362, 3.1083, 2.8842, 4.3639, 2.7991, 3.6100, 3.9328, 2.8499, 2.6109, 3.1623, 3.0380, 2.6322, 3.2159, 3.3429, 3.0830, 2.9821, 2.8418, 2.5882, 2.4325, 3.2476, 3.8906, 3.4171, 2.4824, 3.2188, 2.8264, 2.5802, 5.1282, 3.0893, 3.1667, 2.5614, 2.4466, 3.6266, 2.3723, 2.6751, 3.3966, 2.2012, 3.8619, 2.8876, 2.2816, 2.9857, 3.4292, 
40000, 4.1458, 3.1847, 3.2773, 3.1525, 4.3921, 4.1217, 4.1894, 3.3710, 3.3113, 5.4904, 3.7991, 3.5512, 4.5909, 4.1999, 3.8204, 4.6781, 3.4891, 4.2186, 3.4996, 3.8933, 2.5990, 4.5813, 3.7752, 3.1942, 3.3650, 4.1072, 3.2421, 3.5463, 2.6634, 2.0259, 3.6045, 2.5548, 3.0713, 2.2230, 3.5353, 3.8025, 2.9179, 3.4931, 3.1841, 3.7800, 2.8677, 2.1673, 2.6816, 3.0569, 2.8767, 2.7979, 2.8687, 3.0934, 3.0157, 3.2341, 2.6120, 2.9464, 3.1731, 2.9342, 3.4921, 3.9574, 3.6426, 2.4183, 3.0816, 2.7083, 3.3408, 2.6781, 2.5508, 2.4362, 2.4410, 3.4920, 3.6836, 2.5851, 3.3176, 2.9844, 2.3235, 4.4792, 2.4755, 3.4021, 2.8218, 2.3795, 3.0846, 3.6572, 2.6776, 3.2880, 3.9399, 2.8274, 2.2942, 2.7174, 3.4551, 3.0849, 3.9811, 3.4961, 2.6042, 2.7603, 3.9324, 3.9020, 3.4454, 2.6284, 3.8441, 3.4437, 2.7759, 2.7419, 4.1739, 3.9108, 3.0734, 
42000, 4.0815, 3.3308, 4.3815, 3.5233, 4.3614, 3.4735, 4.5193, 4.1983, 4.1249, 3.9239, 4.0145, 3.1625, 3.8309, 3.5810, 4.1018, 4.7895, 4.7297, 4.4121, 3.8068, 3.6337, 3.3364, 2.7111, 3.9498, 3.6673, 3.9751, 3.9637, 2.3127, 2.7708, 1.9584, 3.1160, 4.1944, 4.4414, 4.1976, 3.1756, 3.0491, 3.3245, 2.4873, 2.8745, 2.7878, 2.4375, 4.0565, 2.3490, 2.8999, 4.0402, 2.7678, 3.0849, 3.1949, 2.9449, 2.8844, 2.1012, 3.5053, 3.5974, 3.2167, 4.1898, 2.9296, 3.5744, 5.3202, 3.1432, 2.7199, 2.6010, 3.1026, 3.6634, 2.3500, 2.2632, 3.7890, 3.9391, 4.4056, 4.4430, 3.5540, 2.9192, 3.5839, 2.5185, 2.8758, 2.8796, 2.2088, 2.8370, 2.7778, 3.3004, 2.4276, 3.1233, 3.0821, 3.0170, 2.2814, 3.6952, 4.6199, 2.7405, 2.1452, 2.6673, 3.0499, 2.2782, 3.9795, 4.1094, 3.2587, 3.5709, 3.1854, 3.0168, 2.3822, 2.5176, 3.3940, 4.9835, 
44000, 6.5702, 4.0928, 5.2705, 3.3592, 4.4580, 3.5019, 3.9182, 3.2616, 3.7507, 3.5013, 3.1215, 3.3724, 2.8661, 3.5052, 4.0837, 3.8471, 3.5584, 3.7163, 3.7639, 3.6725, 2.9111, 3.8079, 3.3237, 2.5860, 2.8950, 2.5369, 3.5829, 2.6571, 3.1072, 3.0633, 2.0963, 2.5882, 2.9879, 2.5054, 2.5536, 3.5505, 4.5997, 2.6300, 3.8073, 2.5977, 2.7427, 3.0845, 2.7964, 2.5424, 3.4070, 2.8032, 4.2215, 3.4421, 3.6550, 3.8699, 2.3144, 3.5878, 2.7760, 3.0558, 3.5886, 3.0070, 3.4240, 1.9932, 3.7234, 3.3437, 2.2155, 3.6134, 3.5620, 2.5775, 2.6803, 3.8862, 2.3508, 2.8806, 4.1010, 3.4674, 3.4457, 2.8997, 2.7377, 2.6523, 2.7143, 3.4156, 3.6133, 3.8556, 2.6969, 3.5123, 3.3856, 3.2199, 2.9860, 3.2836, 3.4859, 4.4900, 3.1664, 3.6663, 3.6390, 3.6980, 4.0783, 3.3240, 3.4822, 2.2893, 3.5509, 3.0084, 3.1048, 2.7315, 2.3549, 3.7533, 
