Q9V9M7	copy_number:152731.3333
Q9VJ19	copy_number:159515.3333
Q9VVU2	copy_number:152865.6667
P05389	copy_number:157660.6667
O16797	copy_number:178071
M9PCC1	copy_number:168497.3333
A0A0B4LFD9	copy_number:151382.6667
M9MRC9	copy_number:184189
M9NEQ9	copy_number:134669
X2JKU5	copy_number:162114.3333
Q9W1V3	copy_number:172654.6667
M9MRF2	copy_number:109892.6667
Q9VHC7	copy_number:161009.6667
P50887	copy_number:125728.6667
A0A0B4KED0	copy_number:134054.3333
P06605	copy_number:119705
M9PHM6	copy_number:112973.3333
Q9VI10	copy_number:162741.3333
X2JIQ5	copy_number:130816
E1JJM9	copy_number:107001.3333
Q9VNB9	copy_number:103888.3333
P19109	copy_number:112159.6667
Q9V3W7	copy_number:113465.6667
M9PH59	copy_number:101686.6667
Q7KM15	copy_number:87442.33333
Q9V5P6	copy_number:132757.6667
A0A0B4JD11	copy_number:100531.3333
Q9V3E7	copy_number:127031.3333
P52295	copy_number:18935.66667
Q9VLT7	copy_number:97978.66667
Q95WY3	copy_number:130809
A0A0B4LFL3	copy_number:100181
Q9VDH8	copy_number:80051
P41073	copy_number:146873.6667
Q9VFE4	copy_number:71450.33333
Q7KLW9	copy_number:82308.33333
Q8T8R1	copy_number:107430.3333
Q9VNE9	copy_number:93978
P05205	copy_number:89453.33333
P15348	copy_number:90528.33333
Q9W4N8	copy_number:71477.33333
Q9VM69	copy_number:111181.6667
Q9VU02	copy_number:147373.6667
A4V2K7	copy_number:75895.66667
Q8MSC4	copy_number:145
Q9VLV5	copy_number:87456.66667
P20240	copy_number:63956
M9NDP1	copy_number:71273.33333
Q7KLX3	copy_number:92763.66667
Q24572	copy_number:85153
Q7JZN0	copy_number:115736.3333
Q7JWN2	copy_number:208071
Q9W0S7	copy_number:70530
A0A0B4KGG9	copy_number:84208.33333
P25171	copy_number:72871
Q9GU68	copy_number:61057.33333
A0A0B4K7G4	copy_number:122981
P12982	copy_number:58758.66667
Q05856	copy_number:61739.33333
F3YDH0	copy_number:81323.66667
E1JGV6	copy_number:91449
X2JCP8	copy_number:109854.3333
Q02427	copy_number:91674.66667
Q9VFT4	copy_number:44912.66667
Q9VUZ0	copy_number:71522.66667
Q05344	copy_number:39022.66667
M9ND95	copy_number:176871.3333
Q8IRG6	copy_number:33936.66667
A0A0B4KFT0	copy_number:61916
P00408	copy_number:55864.66667
A0A023GQA5	copy_number:43940
P21187	copy_number:53720
A4V2B8	copy_number:37552.66667
Q9VL18	copy_number:49343.66667
Q9VH07	copy_number:47237
Q9VIQ8	copy_number:49381.33333
O18404	copy_number:55283
Q8STG9	copy_number:74202
P06606	copy_number:8045.666667
A0A0B4K7J2	copy_number:33292
A0A0B4LF57	copy_number:30943
Q8IQW2	copy_number:59828.66667
A8DYI6	copy_number:32518
Q9VFV9	copy_number:38573.33333
Q9VMS1	copy_number:48750.33333
Q9VXE0	copy_number:59152
M9PCI2	copy_number:69898
Q9W2E7	copy_number:40447
X2JFR1	copy_number:74109
Q27268	copy_number:62561.33333
E1JGK7	copy_number:80726
M9NDC3	copy_number:15835
Q9VHS2	copy_number:31178.66667
Q7JXF5	copy_number:38056
A0A0B4LEY6	copy_number:35595
